Entity,COR,INC,PAR,SPU,MIS,IGN
"Closing Loopholes and putting in place a system that is transparent and works",0,0,0,0,1,0
"to toast the quinoa before placing in the rice cooker",0,0,0,0,1,0
"rents",0,0,0,0,1,0
"warm air and sun",0,0,0,0,1,0
"rising unemployment",0,0,0,0,1,0
"the International Date Line",0,0,0,0,1,0
"assistance to you",0,0,0,0,1,0
"a special place",0,0,0,0,1,0
"Example",0,0,0,0,1,0
"any other instant messaging service",0,0,0,0,1,0
"a whole topic",0,0,0,0,1,0
"hiring",0,0,0,0,1,0
"the added benefit of being natural launching points for conversations about your hobbies",0,0,0,0,1,0
"every effort",0,0,0,0,1,0
"medium-low heat",0,0,0,0,1,0
"an art",0,0,0,0,1,0
"movies",0,0,0,0,1,0
"6 inches",0,0,0,1,0,0
"their fantasy land",0,0,0,0,1,0
"bestiality",0,0,0,0,1,0
"a kind of formaldehyde solution",0,0,0,0,1,0
"Method 2",0,0,0,0,1,0
"mother of all grains",0,0,0,0,1,0
"a gentle shove",0,0,0,0,1,0
"two-minute tasks",0,0,0,0,1,0
"well-drained soil",0,0,0,0,1,0
"their social life",0,0,0,0,1,0
"the long queues outside the station",0,0,0,0,1,0
"anything",0,0,0,0,1,0
"the headline",0,0,0,0,1,0
"questions and learning",0,0,0,0,1,0
"representation theory",0,0,0,0,1,0
"a local bar / nightclub",0,0,0,0,1,0
"the entertainment stories",0,0,0,0,1,0
"regulations",0,0,0,0,1,0
"the enemy 's possible counteractions",0,0,0,0,1,0
"random letters",0,0,0,0,1,0
"rice syrup",0,0,0,0,1,0
"much more",0,0,0,0,1,0
"95 ° F",0,0,0,0,1,0
"bd Georges Mandel",0,0,0,0,1,0
"a representation theory",0,0,0,0,1,0
"its larger neighbor",0,0,0,0,1,0
"regular exposure to stressful situations",0,0,0,0,1,0
"to wash adults ’ overalls alone",0,0,0,0,1,0
"the exact path",0,0,0,0,1,0
"your purpose behind this venture",0,0,0,0,1,0
"The glow",0,0,0,0,1,0
"good fortune",0,0,0,0,1,0
"contact",0,0,0,0,1,0
"Intrepid Sea-Air-Space Museum",0,0,0,0,1,0
"new mistakes",0,0,0,0,1,0
"comments",0,0,0,0,1,0
"other projects",0,0,0,0,1,0
"cronyism",0,0,0,0,1,0
"all her energy",0,0,0,0,1,0
"emails",0,0,0,0,1,0
"the richest areas for endemic plant species",0,0,0,0,1,0
"the temptation",0,0,0,0,1,0
"the so-called "" rust belt",0,0,0,0,1,0
"O.J. Simpson",0,0,0,0,1,0
"commitments",0,0,0,0,1,0
"“um”s",0,0,0,0,1,0
"the northern part of Tulsa",0,0,0,0,1,0
"their appearance",0,0,0,0,1,0
"Personality test questions",0,0,0,0,1,0
"stream of consciousness",0,0,0,0,1,0
"a denial-of-service attack",0,0,0,0,1,0
"Sources",0,0,0,0,1,0
"flavoring",0,0,0,0,1,0
"the debates",0,0,0,0,1,0
"both guests and the environment",0,0,0,0,1,0
"the same ground",0,0,0,0,1,0
"the site",0,0,0,0,1,0
"the markets",0,0,0,0,1,0
"a more sleepy provincial capital",0,0,0,0,1,0
"best choice",0,0,0,0,1,0
"instructions",0,0,0,0,1,0
"classical - era",0,0,0,0,1,0
"that ad",0,0,0,0,1,0
"the local creole",0,0,0,0,1,0
"this structure",0,0,0,0,1,0
"the coach 's instructions",0,0,0,0,1,0
"downloads",0,0,0,0,1,0
"these hazardous chemicals",0,0,0,0,1,0
"anatomical preservation",0,0,0,0,1,0
"the long answer",0,0,0,0,1,0
"characters",0,0,0,0,1,0
"further expansion of NATO",0,0,0,0,1,0
"an explosion sound",0,0,0,0,1,0
"These responses",0,0,0,0,1,0
"a decline",0,0,0,0,1,0
"the food supply",0,0,0,0,1,0
"all of Persia",0,0,0,0,1,0
"soy milk",0,0,0,0,1,0
"the rooms",0,0,0,0,1,0
"Baie-Mahault",0,0,0,0,1,0
"Udvar-Hazy Center",0,0,0,0,1,0
"a god , goddess , protective spirit or guardian angel",0,0,0,0,1,0
"some of the best preserved historical buildings and structures in Europe",0,0,0,0,1,0
"some good rules of thumb",0,0,0,0,1,0
"this version of the game",0,0,0,0,1,0
"unique land and marine biodiversity",0,0,0,0,1,0
"color contamination",0,0,0,0,1,0
"the theory",0,0,0,0,1,0
"severe malnutrition",0,0,0,0,1,0
"their enemy",0,0,0,0,1,0
"Main St.",0,0,0,0,1,0
"Palacio del Gobierno",0,0,0,0,1,0
"reinfestation",0,0,0,0,1,0
"comics",0,0,0,0,1,0
"the sleeper health issue in Australia",0,0,0,0,1,0
"an important position in the tourism industry",0,0,0,0,1,0
"the phenomenon",0,0,0,0,1,0
"The most popular lodging",0,0,0,0,1,0
"the river",0,0,0,0,1,0
"the general patterns",0,0,0,0,1,0
"a hub of radical culture",0,0,0,0,1,0
"unpleasant smells",0,0,0,0,1,0
"his situation",0,0,0,0,1,0
"gas stations",0,0,0,0,1,0
"the points of the compass",0,0,0,0,1,0
"coffee shops",0,0,0,0,1,0
"The "" B.A. """,0,0,0,0,1,0
"changed constraints",0,0,0,0,1,0
"Our advertising revenue",0,0,0,0,1,0
"a bit",0,0,0,0,1,0
"a good foundation here",0,0,0,0,1,0
"a bit of water",0,0,0,0,1,0
"one flavor",0,0,0,0,1,0
"the minority of skydivers",0,0,0,0,1,0
"that time",0,0,0,0,1,0
"1 tablespoon 15 ml",0,0,1,0,0,0
"different contexts",0,0,0,0,1,0
"The santorum neologism",0,0,0,0,1,0
"all of our software",0,0,0,0,1,0
"real-life situations",0,0,0,0,1,0
"traditions",0,0,0,0,1,0
"your limits",0,0,0,0,1,0
"an effective way",0,0,0,0,1,0
"adult ads",0,0,0,0,1,0
"their perfect little world",0,0,0,0,1,0
"baking soda",0,0,0,0,1,0
"a story countless other jokes",0,0,0,0,1,0
"the Nazi occupation",0,0,0,0,1,0
"an interracial marriage",0,0,0,0,1,0
"its popularity",0,0,0,0,1,0
"Getting the Material Right",0,0,0,0,1,0
"music",0,0,0,0,1,0
"ethical lapses in judgment",0,0,0,0,1,0
"beautiful views",0,0,0,0,1,0
"the world of entertainment",0,0,0,0,1,0
"75 liters",0,0,1,0,0,0
"deep , even breathing ( despite the rushing slipstream ) and controlling your heart-rate are essential to your continued survival",0,0,0,0,1,0
"circumstances",0,0,0,0,1,0
"The effects of iodine deficiency",0,0,0,0,1,0
"Catedral de San Ildefonso",0,0,0,0,1,0
"the night",0,0,0,0,1,0
"the GNP of Israel",0,0,0,0,1,0
"the high season",0,0,0,0,1,0
"high traffic",0,0,0,0,1,0
"one cup",0,0,1,0,0,0
"the bark",0,0,0,0,1,0
"they",0,0,0,0,1,0
"seafood",0,0,0,0,1,0
"Local public transportation hubs",0,0,0,0,1,0
"The program",0,0,0,0,1,0
"the core of the city",0,0,0,0,1,0
"No question",0,0,0,0,1,0
"a question like "" the greatest woman in the world """,0,0,0,0,1,0
"a single new flag design",0,0,0,0,1,0
"the industrial revolution",0,0,0,0,1,0
"a reasonable height",0,0,0,0,1,0
"their stay",0,0,0,0,1,0
"The USI art gallery",0,0,0,0,1,0
"about 1/4 cup",0,0,1,0,0,0
"a nuclear free weapons zone in the region",0,0,0,0,1,0
"the rapid economic growth",0,0,0,0,1,0
"the shape of two of its major islands",0,0,0,0,1,0
"the Freewinds",0,0,0,0,1,0
"Neiafu and surrounding villages",0,0,0,0,1,0
"that room",0,0,0,0,1,0
"The legend",0,0,0,0,1,0
"the drink",0,0,0,0,1,0
"impacts",0,0,0,0,1,0
"serious health problems including brain damage , stunted growth and deafness",0,0,0,0,1,0
"a single line of sight",0,0,0,0,1,0
"a lot of walking",0,0,0,0,1,0
"a new city",0,0,0,0,1,0
"the two known localities for E. andrillae",0,0,0,0,1,0
"the hilarious anarchy of the net",0,0,0,0,1,0
